codigo,nome,fechamento,valor,mensal,anual,tipo,periodo,dataBase,dataPagamento
YUFI11B,FII YUCA,N/A,"0,51",N/A,N/A,Rendimento,jul./22,29/07/2022,12/08/2022
EVBI11,FII VBI CON,"97,9","0,75","0,77","0,76",Rendimento,jun./22,29/07/2022,05/08/2022
ITIT11,FII IFI-E,"70,98","0,62","0,87","0,73",Rendimento,jul./22,29/07/2022,12/08/2022
VCJR11,FII VECTIS,"93,16",1,"1,07","1,32",Rendimento,jul./22,29/07/2022,11/08/2022
KNIP11,FII KINEA IP,"96,89","1,04","1,07","1,34",Rendimento,jul./22,29/07/2022,11/08/2022
KINP11,FII EV KINEA,13,"0,27","2,04",0,Rendimento,jul./22,29/07/2022,12/08/2022
JSRE11,FII JS REAL,"75,59","0,49","0,65","0,67",Rendimento,jul./22,29/07/2022,12/08/2022
HGRU11,FII CSHG URB,"119,4","0,82","0,69","0,7",Rendimento,jul./22,29/07/2022,12/08/2022
XPSF11,FII XP SELEC,"7,19","0,07","0,99","0,91",Rendimento,jul./22,29/07/2022,12/08/2022
KNCR11,FII KINEA RI,"102,49","1,15","1,12","0,83",Rendimento,jul./22,29/07/2022,11/08/2022
RNGO11,FII RIONEGRO,"46,2","0,4","0,87","0,73",Rendimento,jul./22,29/07/2022,12/08/2022
SPVJ11,FII S VAREJO,0,"0,68",0,0,Rendimento,jul./22,29/07/2022,12/08/2022
BPFF11,FII ABSOLUTO,"65,85","0,75","1,14","0,96",Rendimento,jul./22,29/07/2022,05/08/2022
HGIC11,FII HGI CRI,"106,22","1,01","0,95","0,95",Rendimento,jul./22,29/07/2022,16/08/2022
RBRS11,FII RIOB RR,"56,98","0,41","0,72","0,69",Rendimento,jul./22,29/07/2022,15/08/2022
QAMI11,FII QUASAR C,"87,9",1,"1,14","1,36",Rendimento,jul./22,29/07/2022,12/08/2022
STRX11,FII STARX,0,"0,75",0,0,Rendimento,jul./22,29/07/2022,05/08/2022
RMAI11,FII REAGMULT,"35,5","0,26","0,73","0,46",Rendimento,jul./22,29/07/2022,09/08/2022
PQDP11,FII D PEDRO,"1978,51","14,24","0,72","0,7",Rendimento,jun./22,29/07/2022,19/08/2022
XPHT11,FII XP HOT,110,"0,54","0,49","0,38",Rendimento,jul./22,29/07/2022,12/08/2022
PVBI11,FII VBI PRI,"91,42","0,56","0,61","0,62",Rendimento,jun./22,29/07/2022,05/08/2022
RBHG11,FII RBCRI IV,"86,86","1,3","1,5","1,31",Rendimento,jul./22,29/07/2022,12/08/2022
BBRC11,FII BB CORP,98,"0,99","1,01","0,92",Rendimento,jul./22,29/07/2022,12/08/2022
MFAI11,FII MERITOFA,"61,28","0,51","0,83","0,98",Rendimento,jul./22,29/07/2022,12/08/2022
ERCR11,FII ESTOQ RJ,N/A,"581,81",N/A,N/A,Amortização,jul./22,18/07/2022,25/07/2022
GCFF11,FII GALAPAGO,N/A,"0,5",N/A,N/A,Amortização,jun./22,13/07/2022,20/07/2022
