codigo,nome,fechamento,valor,mensal,anual,tipo,periodo,dataBase,dataPagamento
VXXV11,FII VX XVI,N/A,"278,45",N/A,N/A,Amortização,out./20,23/10/2020,30/10/2020
DMAC11,FII MAC,N/A,"45,68",N/A,N/A,Amortização,out./20,06/10/2020,15/10/2020
HBTT11,FII HABITAT,N/A,"15,22",N/A,N/A,Amortização,set./20,30/09/2020,15/10/2020
SPTW11,FII SP DOWNT,N/A,"0,54",N/A,N/A,Amortização,set./20,30/09/2020,08/10/2020
PLRI11,FII POLO I,N/A,"1,05",N/A,N/A,Amortização,set./20,30/09/2020,07/10/2020
RNDP11,FII BB R PAP,N/A,165,N/A,N/A,Amortização,set./20,23/09/2020,26/10/2020
CPFF11,FII CAP REIT,N/A,"0,5",N/A,N/A,Amortização,ago./20,09/09/2020,17/09/2020
DMAC11,FII MAC,N/A,"29,31",N/A,N/A,Amortização,set./20,04/09/2020,15/09/2020
SPTW11,FII SP DOWNT,N/A,"0,6",N/A,N/A,Amortização,ago./20,31/08/2020,09/09/2020
PLRI11,FII POLO I,N/A,"0,79",N/A,N/A,Amortização,ago./20,31/08/2020,08/09/2020
BBIM11,FII BB RECIM,N/A,"12,21",N/A,N/A,Amortização,set./20,31/08/2020,25/09/2020
HBTT11,FII HABITAT,N/A,11,N/A,N/A,Amortização,ago./20,31/08/2020,15/09/2020
CPFF11,FII CAP REIT,N/A,"0,45",N/A,N/A,Amortização,jul./20,10/08/2020,18/08/2020
DMAC11,FII MAC,N/A,"22,67",N/A,N/A,Amortização,ago./20,06/08/2020,17/08/2020
SPTW11,FII SP DOWNT,N/A,"0,87",N/A,N/A,Amortização,jul./20,31/07/2020,10/08/2020
PLRI11,FII POLO I,N/A,"1,04",N/A,N/A,Amortização,jul./20,31/07/2020,07/08/2020
HBTT11,FII HABITAT,N/A,7,N/A,N/A,Amortização,jul./20,31/07/2020,14/08/2020
DMAC11,FII MAC,N/A,"27,05",N/A,N/A,Amortização,jul./20,06/07/2020,15/07/2020
HBTT11,FII HABITAT,N/A,11,N/A,N/A,Amortização,jun./20,30/06/2020,15/07/2020
KNRE11,FII KII REAL,N/A,"0,36",N/A,N/A,Amortização,jun./20,30/06/2020,14/07/2020
